id,x,y,d,st,et,mt
1,24,63,0,0,0,0
2,35,60,2,0,0,0
3,79,46,12,0,0,0
4,3,45,14,0,0,0
5,42,50,2,0,0,0
6,3,40,17,0,0,0
7,29,96,20,0,0,0
8,47,30,2,0,0,0
9,54,77,26,0,0,0
10,36,30,7,0,0,0
11,83,86,24,0,0,0
12,30,6,23,0,0,0
13,55,29,13,0,0,0
14,13,2,25,0,0,0
15,1,19,20,0,0,0
16,98,1,3,0,0,0
17,75,10,18,0,0,0
18,39,23,23,0,0,0
19,62,91,6,0,0,0
20,96,9,2,0,0,0
21,27,87,13,0,0,0
22,14,16,22,0,0,0
23,52,49,3,0,0,0
24,95,21,6,0,0,0
25,30,6,7,0,0,0
26,18,40,1,0,0,0
27,82,90,18,0,0,0
28,50,79,18,0,0,0
29,48,49,10,0,0,0
30,82,73,2,0,0,0
31,64,62,9,0,0,0
32,34,78,10,0,0,0
33,83,6,8,0,0,0
34,3,77,30,0,0,0
35,18,8,16,0,0,0
36,53,86,23,0,0,0
37,88,51,2,0,0,0
38,77,51,18,0,0,0
39,58,89,22,0,0,0
40,12,44,1,0,0,0
41,70,88,8,0,0,0
42,36,17,4,0,0,0
43,85,23,26,0,0,0
44,93,30,21,0,0,0
45,68,67,2,0,0,0
46,71,34,15,0,0,0
47,56,73,25,0,0,0
48,37,37,22,0,0,0
49,78,20,19,0,0,0
50,88,69,3,0,0,0
51,95,42,3,0,0,0
52,44,71,5,0,0,0
53,18,1,13,0,0,0
