id,x,y,d,st,et,mt
1,41,88,0,0,0,0
2,53,83,5,0,0,0
3,87,28,20,0,0,0
4,42,11,7,0,0,0
5,22,1,2,0,0,0
6,34,36,19,0,0,0
7,84,33,19,0,0,0
8,81,63,9,0,0,0
9,11,29,15,0,0,0
10,62,27,22,0,0,0
11,90,30,14,0,0,0
12,84,69,15,0,0,0
13,69,33,18,0,0,0
14,89,72,4,0,0,0
15,45,16,6,0,0,0
16,28,6,4,0,0,0
17,89,35,10,0,0,0
18,58,88,16,0,0,0
19,62,87,14,0,0,0
20,88,67,1,0,0,0
21,57,90,23,0,0,0
22,54,0,19,0,0,0
23,92,71,16,0,0,0
24,63,86,22,0,0,0
25,70,34,15,0,0,0
26,91,35,4,0,0,0
27,93,30,21,0,0,0
28,39,44,16,0,0,0
29,86,36,22,0,0,0
30,43,13,6,0,0,0
31,89,41,2,0,0,0
32,85,70,11,0,0,0
33,0,72,5,0,0,0
34,18,39,2,0,0,0
35,93,76,12,0,0,0
36,90,65,6,0,0,0
37,88,0,17,0,0,0
38,91,36,15,0,0,0
39,87,66,11,0,0,0
40,45,14,4,0,0,0
41,0,33,22,0,0,0
42,54,89,13,0,0,0
43,35,46,21,0,0,0
44,91,73,13,0,0,0
45,95,35,20,0,0,0
46,85,71,6,0,0,0
47,94,31,15,0,0,0
48,88,37,22,0,0,0
49,91,35,11,0,0,0
50,66,34,18,0,0,0
51,86,38,8,0,0,0
52,92,77,22,0,0,0
53,56,93,16,0,0,0
54,58,91,7,0,0,0
55,60,91,16,0,0,0
56,61,84,21,0,0,0
57,90,70,16,0,0,0
58,85,67,17,0,0,0
59,0,69,16,0,0,0
60,94,35,23,0,0,0
61,28,5,3,0,0,0
62,89,37,20,0,0,0
63,90,34,13,0,0,0
64,94,32,6,0,0,0
65,95,35,12,0,0,0
66,16,32,15,0,0,0
