id,x,y,d,st,et,mt
1,92,92,0,0,0,0
2,88,58,24,0,0,0
3,70,6,22,0,0,0
4,57,59,23,0,0,0
5,0,98,5,0,0,0
6,61,38,11,0,0,0
7,65,22,23,0,0,0
8,91,52,26,0,0,0
9,59,2,9,0,0,0
10,3,54,23,0,0,0
11,95,38,9,0,0,0
12,80,28,14,0,0,0
13,66,42,16,0,0,0
14,79,74,12,0,0,0
15,99,25,2,0,0,0
16,20,43,2,0,0,0
17,40,3,6,0,0,0
18,50,42,20,0,0,0
19,97,0,26,0,0,0
20,21,19,12,0,0,0
21,36,21,15,0,0,0
22,100,61,13,0,0,0
23,11,85,26,0,0,0
24,69,35,17,0,0,0
25,69,22,7,0,0,0
26,29,35,12,0,0,0
27,14,9,4,0,0,0
28,50,33,4,0,0,0
29,89,17,20,0,0,0
30,57,44,10,0,0,0
31,60,25,9,0,0,0
32,48,42,2,0,0,0
33,17,93,9,0,0,0
34,21,50,1,0,0,0
35,77,18,2,0,0,0
36,2,4,2,0,0,0
37,63,83,12,0,0,0
38,68,6,14,0,0,0
39,41,95,23,0,0,0
40,48,54,21,0,0,0
41,98,73,13,0,0,0
42,26,38,13,0,0,0
43,69,76,23,0,0,0
44,40,1,3,0,0,0
45,65,41,6,0,0,0
46,14,86,23,0,0,0
47,32,39,11,0,0,0
48,14,24,2,0,0,0
49,96,5,7,0,0,0
50,82,98,13,0,0,0
51,23,85,10,0,0,0
52,63,69,3,0,0,0
53,87,19,6,0,0,0
54,56,75,13,0,0,0
55,15,63,2,0,0,0
56,10,45,14,0,0,0
57,7,30,7,0,0,0
58,31,11,21,0,0,0
59,36,93,7,0,0,0
60,50,31,22,0,0,0
61,49,52,13,0,0,0
62,39,10,22,0,0,0
63,76,40,18,0,0,0
64,83,34,22,0,0,0
65,33,51,6,0,0,0
66,0,15,2,0,0,0
67,52,82,11,0,0,0
68,52,82,5,0,0,0
69,46,6,9,0,0,0
70,3,26,9,0,0,0
71,46,80,5,0,0,0
72,94,30,12,0,0,0
73,26,76,2,0,0,0
74,75,92,12,0,0,0
75,57,51,19,0,0,0
76,34,21,6,0,0,0
77,28,80,14,0,0,0
78,59,66,2,0,0,0
79,51,16,2,0,0,0
80,87,11,24,0,0,0
