id,x,y,d,st,et,mt
1,76,75,0,0,0,0
2,60,14,11,0,0,0
3,46,5,20,0,0,0
4,91,14,26,0,0,0
5,70,95,17,0,0,0
6,86,31,5,0,0,0
7,20,0,17,0,0,0
8,41,55,1,0,0,0
9,21,15,15,0,0,0
10,46,1,16,0,0,0
11,95,45,22,0,0,0
12,16,89,2,0,0,0
13,41,1,22,0,0,0
14,60,94,25,0,0,0
15,55,25,20,0,0,0
16,71,41,20,0,0,0
17,39,35,21,0,0,0
18,61,70,26,0,0,0
19,80,36,12,0,0,0
20,100,26,5,0,0,0
21,65,85,11,0,0,0
22,40,51,5,0,0,0
23,19,71,21,0,0,0
24,34,50,17,0,0,0
25,36,61,12,0,0,0
26,69,50,12,0,0,0
27,61,94,15,0,0,0
28,19,11,21,0,0,0
29,51,91,12,0,0,0
30,61,54,2,0,0,0
31,76,90,17,0,0,0
32,41,75,16,0,0,0
33,35,100,15,0,0,0
34,1,40,26,0,0,0
35,15,91,12,0,0,0
36,21,11,22,0,0,0
37,79,81,16,0,0,0
38,34,36,21,0,0,0
39,74,99,16,0,0,0
40,75,14,2,0,0,0
41,65,54,6,0,0,0
42,55,10,2,0,0,0
43,100,6,6,0,0,0
44,99,91,10,0,0,0
45,25,86,11,0,0,0
46,75,16,1,0,0,0
47,30,45,63,0,0,0
48,21,85,10,0,0,0
49,75,80,21,0,0,0
50,71,35,7,0,0,0
51,56,81,1,0,0,0
52,25,76,6,0,0,0
53,85,76,26,0,0,0
54,60,34,17,0,0,0
55,41,44,10,0,0,0
56,6,55,25,0,0,0
57,60,54,25,0,0,0
58,40,96,25,0,0,0
59,20,71,16,0,0,0
60,94,45,5,0,0,0
61,31,41,22,0,0,0
62,40,49,17,0,0,0
63,56,80,6,0,0,0
