id,x,y,d,st,et,mt
1,59,44,0,0,0,0
2,9,23,2,0,0,0
3,84,68,1,0,0,0
4,36,93,6,0,0,0
5,87,9,9,0,0,0
6,34,16,16,0,0,0
7,40,98,5,0,0,0
8,72,43,3,0,0,0
9,0,60,9,0,0,0
10,64,90,12,0,0,0
11,11,8,1,0,0,0
12,46,7,1,0,0,0
13,33,54,18,0,0,0
14,23,84,10,0,0,0
15,67,18,5,0,0,0
16,34,93,5,0,0,0
17,19,25,9,0,0,0
18,14,9,16,0,0,0
19,70,64,12,0,0,0
20,58,50,6,0,0,0
21,5,78,6,0,0,0
22,95,39,20,0,0,0
23,38,54,23,0,0,0
24,50,73,39,0,0,0
25,48,46,17,0,0,0
26,64,4,8,0,0,0
27,39,28,2,0,0,0
28,79,30,13,0,0,0
29,61,36,17,0,0,0
30,28,50,3,0,0,0
31,51,91,2,0,0,0
32,68,59,7,0,0,0
33,14,9,23,0,0,0
34,94,87,10,0,0,0
35,68,29,7,0,0,0
36,12,91,12,0,0,0
37,2,22,20,0,0,0
38,25,16,13,0,0,0
39,11,57,21,0,0,0
40,3,51,25,0,0,0
41,13,52,5,0,0,0
42,9,76,4,0,0,0
43,58,18,13,0,0,0
44,40,39,12,0,0,0
45,32,89,23,0,0,0
46,9,92,19,0,0,0
47,36,14,10,0,0,0
48,82,13,7,0,0,0
49,10,25,15,0,0,0
50,96,97,5,0,0,0
51,20,21,15,0,0,0
52,40,91,13,0,0,0
53,33,31,30,0,0,0
54,72,74,15,0,0,0
55,41,24,7,0,0,0
56,90,20,9,0,0,0
57,4,44,23,0,0,0
58,54,22,8,0,0,0
59,43,59,5,0,0,0
60,3,70,8,0,0,0
61,94,16,25,0,0,0
62,94,54,12,0,0,0
63,14,40,25,0,0,0
64,37,0,24,0,0,0
65,88,55,8,0,0,0
66,80,25,22,0,0,0
67,37,64,7,0,0,0
68,87,47,24,0,0,0
69,18,68,18,0,0,0
